month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2428,U,0,0,10.64,10.08,6.83,18.83,69,20.44,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1737,U,0,0,9.41,6.78,5.08,17.7,60,13.71,R,NA,NA,0,B,0,0,0,0,,"TIENE EL VIENTRE SIN PLUMAS, MENOS UN DEDO, BASE DEL TARSO LASTIMADA",,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1738,M,5,0,9.13,6.77,4.82,19.04,61,13.69,R,NA,NA,0,A,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2099,M,5,0,12.73,12.89,7.9,21.96,79,24.36,U,NA,NA,0,B,0,1,1,0,1,DEBAJO DE LA PATA DERECHA PARTE VENTRAL NO TIENE PLUMAS SE TOMO SWAB DE ESA ZONA,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,PAR,SM190,M,1,0,7.71,6.88,4.38,17.13,63,12.81,U,NA,NA,0,B,0,1,1,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,CRA,SM2429,M,4,0,10.38,9.87,7.17,24,82,21.07,U,NA,NA,0,B,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1739,U,0,0,8.77,6.58,5.02,17.93,55,12.63,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,ZEN,NO ANILLO,U,0,0,12.42,NA,NA,22.36,118,19.95,U,NA,NA,0,A,1,1,1,0,,TIENE PIOJOS,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,CRA,SM1119,M,5,CP1,10.81,10.31,7.17,25.14,83,31.86,U,NA,NA,0,A,1,1,1,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2430,M,4,0,10.9,10.03,6.12,21.48,72,20.59,R,NA,NA,0,A,1,1,1,0,,,,,,,,,
